,din_instante,val_geracao,Estacao
182,2018-07-02,800.612,Inverno
183,2018-07-03,774.919,Inverno
184,2018-07-04,767.807,Inverno
185,2018-07-05,789.422,Inverno
186,2018-07-06,787.277,Inverno
187,2018-07-07,771.451,Inverno
188,2018-07-08,735.911,Inverno
189,2018-07-09,672.451,Inverno
190,2018-07-10,803.65,Inverno
191,2018-07-11,851.501,Inverno
192,2018-07-12,789.208,Inverno
193,2018-07-13,689.3580000000001,Inverno
194,2018-07-14,804.053,Inverno
195,2018-07-15,812.995,Inverno
196,2018-07-16,779.731,Inverno
197,2018-07-17,781.013,Inverno
198,2018-07-18,761.272,Inverno
199,2018-07-19,749.317,Inverno
200,2018-07-20,806.342,Inverno
201,2018-07-21,707.688,Inverno
202,2018-07-22,669.787,Inverno
203,2018-07-23,749.923,Inverno
204,2018-07-24,748.87,Inverno
205,2018-07-25,743.917,Inverno
206,2018-07-26,723.21,Inverno
207,2018-07-27,759.428,Inverno
208,2018-07-28,732.99,Inverno
209,2018-07-29,745.271,Inverno
210,2018-07-30,616.319,Inverno
211,2018-07-31,746.209,Inverno
212,2018-08-01,459.763,Inverno
213,2018-08-02,583.316,Inverno
214,2018-08-03,530.942,Inverno
215,2018-08-04,478.568,Inverno
216,2018-08-05,498.59866666666665,Inverno
217,2018-08-06,518.6293333333333,Inverno
218,2018-08-07,538.66,Inverno
219,2018-08-08,499.1475,Inverno
220,2018-08-09,459.635,Inverno
221,2018-08-10,630.39,Inverno
222,2018-08-11,801.145,Inverno
223,2018-08-12,971.9,Inverno
224,2018-08-13,985.2470000000001,Inverno
225,2018-08-14,926.945,Inverno
226,2018-08-15,800.236,Inverno
227,2018-08-16,750.774,Inverno
228,2018-08-17,903.211,Inverno
229,2018-08-18,924.797,Inverno
230,2018-08-19,882.965,Inverno
231,2018-08-20,912.052,Inverno
232,2018-08-21,792.0,Inverno
233,2018-08-22,809.6965,Inverno
234,2018-08-23,827.393,Inverno
235,2018-08-24,363.341,Inverno
